,Ticker,Date,Price,Shares Outstanding,Market Cap,EV,EBITDA,EV/EBITDA,D/E,BV/Share,Total Cash,Total Liabilities,Total Revenue,Operating Cash Flow,BS Recent Date,CF Recent Date,IS Recent Date
1337,SRES.V,"04/20/2020, 07:25:18",0.11,203340000.0,22370000.0,0.0,0,0,0,0.0,4239.0,810.0,0.0,0.0,2019-12-31,ttm,ttm
1338,SRG.V,"04/20/2020, 07:25:39",0.4,81860000.0,32740000.000000004,28740000.0,-11030000.0,0.0,0,0.0,4524.0,1802.0,0.0,-8339.0,2018-12-31,2018-12-31,2018-12-31
1339,SRI.V,"04/20/2020, 07:25:59",0.025,127420000.0,3190000.0,3800000.0,0.0,0.0,0.0,0.0,32.0,504.0,75.0,-459.0,2018-12-31,2018-12-31,2018-12-31
1340,SRL.V,"04/20/2020, 07:26:19",0.2,126480000.0,25300000.0,21020000.0,-1750000.0,0.0,0,0.0,5640.0,1716.0,0.0,-917.0,2018-12-31,2018-12-31,2018-12-31
1341,SS-H.V,"04/20/2020, 07:26:39",0.5,9850000.0,4920000.0,7730000.0,0.0,0.0,0,0.0,376.0,2940.0,86.0,7.0,2019-06-30,2019-06-30,2019-06-30
1342,SSA.V,"04/20/2020, 07:26:59",0.035,77110000.0,2700000.0,2450000.0,0.0,0.0,0,0.0,297.0,1098.0,2046.0,493.0,2018-12-31,2018-12-31,2018-12-31
1343,SSE.V,"04/20/2020, 07:27:20",0.03,96350000.0,2890000.0,2770000.0,0,0,0,0.0,156.0,669.0,0.0,-868.0,2019-10-31,2019-10-31,2019-10-31
1344,SSH-P.V,"04/20/2020, 07:27:40",0.105,5200000.0,0.0,0.0,0,0,0,0.0,230.0,1.0,0.0,-46.0,2019-11-30,2019-11-30,2019-11-30
1345,SSV.V,"04/20/2020, 07:28:00",0.135,132250000.0,17850000.0,13960000.0,0,0,0,0.0,376.0,310.0,0.0,-921.0,2019-04-30,2019-04-30,2019-04-30
1346,STA.V,"04/20/2020, 07:28:20",0.01,212120000.0,2120000.0,2069999.9999999998,-1340000.0,0.0,0,0.0,1101.0,495.0,0.0,-215.0,2019-03-31,2019-03-31,2019-03-31
