,Ticker,Date,Price,Shares Outstanding,Market Cap,EV,EBITDA,EV/EBITDA,D/E,BV/Share,Total Cash,Total Liabilities,Total Revenue,Operating Cash Flow,BS Recent Date,CF Recent Date,IS Recent Date
1261,MIN.TO,"04/22/2020, 08:37:39",0.53,239030000.0,126690000.0,109810000.0,-8440000.0,0.0,0.0,0.0,44168.0,22418.0,0.0,-12725.0,2018-12-31,2018-12-31,2018-12-31
1262,MIND.TO,"04/22/2020, 08:37:59",20.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1263,MINT.TO,"04/22/2020, 08:38:15",22.41,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1264,MINT-B.TO,"04/22/2020, 08:38:32",23.71,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1265,MIVG.TO,"04/22/2020, 08:38:48",22.49,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1266,MKB.TO,"04/22/2020, 08:39:05",21.59,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1267,MKC.TO,"04/22/2020, 08:39:21",21.16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1268,MKP.TO,"04/22/2020, 08:39:37",11.61,24220000.0,281140000.0,1030000000.0,0,0,0.0,0.0,0.0,1849029.0,74858.0,-31895.0,2019-12-31,2019-12-31,2019-12-31
1269,MKZ-UN.TO,"04/22/2020, 08:39:54",0.87,6260000.0,5450000.0,4460000.0,0,0,0,0.0,992.0,332.0,1130.0,903.0,2019-12-31,2019-12-31,2019-12-31
1270,MLD-UN.TO,"04/22/2020, 08:40:09",6.86,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,Null,ttm,ttm
1271,MMP-UN.TO,"04/22/2020, 08:40:26",1.42,18470000.0,24340000.0,-4590000.0,0,0,0,0.0,28931.0,289.0,6491.0,1831.0,2019-12-31,2019-12-31,2019-12-31
1272,MMX.TO,"04/22/2020, 08:40:42",5.41,119580000.0,647890000.0,731230000.0,31180000.0,0.0,0.0,0.0,6271.0,95372.0,44732.0,27674.0,2019-12-31,2019-12-31,2019-12-31
1273,MND.TO,"04/22/2020, 08:40:58",1.15,91080000.0,104740000.0,149060000.0,14480000.0,0.0,0.0,0.0,24462.0,146840.0,107795.0,7592.0,2019-12-31,2019-12-31,2019-12-31
1274,MNS.TO,"04/22/2020, 08:41:13",12.84,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1275,MNS-U.TO,"04/22/2020, 08:41:30",9.03,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1276,MNT.TO,"04/22/2020, 08:41:47",27.16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1277,MNT-U.TO,"04/22/2020, 08:42:05",18.74,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1278,MOGO.TO,"04/22/2020, 08:42:21",1.3,27870000.0,36230000.0,163910000.0,0,0,0.0,0.0,5367.0,149346.0,59805.0,-15210.0,2019-12-31,2019-12-31,2019-12-31
1279,MOGO-DB.TO,"04/22/2020, 08:42:37",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1280,MOZ.TO,"04/22/2020, 08:42:52",1.43,179100000.0,256110000.0,228210000.0,-3640000.0,0.0,0.0,0.0,27963.0,9990.0,0.0,-190.0,2019-12-31,2019-12-31,2019-12-31
1281,MPC.TO,"04/22/2020, 08:43:08",3.64,7260000.0,165990000.0,403080000.0,21770000.0,0.0,0.0,0.0,56955.0,276468.0,31117.0,9834.0,2019-08-31,2019-08-31,2019-08-31
1282,MPC-C.TO,"04/22/2020, 08:43:22",2.72,51320000.0,165990000.0,349200000.0,21770000.0,0.0,0.0,0.0,56955.0,276468.0,31117.0,9834.0,2019-08-31,2019-08-31,2019-08-31
1283,MPCF.TO,"04/22/2020, 08:43:39",16.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1284,MPVD.TO,"04/22/2020, 08:43:54",0.47,210390000.0,98880000.0,439590000.0,84850000.0,0.0,0.0,0.0,34751.0,486549.0,276334.0,79359.0,2019-12-31,2019-12-31,2019-12-31
1285,MQR.TO,"04/22/2020, 08:44:10",0.2,267620000.0,53520000.0,49860000.0,0.0,0.0,0.0,0.0,8707.0,27396.0,31653.0,-5765.0,2019-06-30,2019-06-30,2019-06-30
1286,MR-DB-A.TO,"04/22/2020, 08:44:26",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1287,MR-DB-B.TO,"04/22/2020, 08:44:42",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1288,MR-UN.TO,"04/22/2020, 08:44:58",4.35,13120000.0,57050000.0,632190000.0,0,0,0.0,0.0,2280.0,594815.0,71159.0,9309.0,2019-12-31,2019-12-31,2019-12-31
1289,MRC.TO,"04/22/2020, 08:45:13",145.95,11280000.0,1650000000.0,8700000000.0,582630000.0,0.0,0.0,0.0,123168.0,7397367.0,1192973.0,282414.0,2019-12-31,2019-12-31,2019-12-31
1290,MRD.TO,"04/22/2020, 08:45:29",7.05,33220000.0,234210000.0,1050000000.0,75600000.0,0.0,0.0,0.0,36980.0,1015790.0,207971.0,31226.0,2019-12-31,2019-12-31,2019-12-31
1291,MRE.TO,"04/22/2020, 08:45:45",7.14,80260000.0,573060000.0,1500000000.0,454980000.0,0.0,0.0,0.0,118973.0,1875872.0,3863659.0,401547.0,2019-12-31,2019-12-31,2019-12-31
1292,MRG-DB-A.TO,"04/22/2020, 08:46:00",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1293,MRG-UN.TO,"04/22/2020, 08:46:15",13.45,38980000.0,524280000.0,2240000000.0,0,0,0.0,0.0,17748.0,1807634.0,245596.0,62483.0,2019-12-31,2019-12-31,2019-12-31
1294,MRT-DB.TO,"04/22/2020, 08:46:31",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Null,Null,Null
1295,MRT-UN.TO,"04/22/2020, 08:46:47",5.39,60720000.0,327290000.0,1670000000.0,148970000.0,0.0,0.0,0.0,10652.0,1398159.0,276473.0,93474.0,2018-12-31,2018-12-31,2018-12-31
1296,MRU.TO,"04/22/2020, 08:47:03",59.44,253200000.0,15050000000.0,19890000000.0,1360000000.0,0.0,0.0,0.0,273400.0,5105300.0,16767500.0,687700.0,2019-09-30,2019-09-30,2019-09-30
1297,MSI.TO,"04/22/2020, 08:47:19",33.08,66540000.00000001,2200000000.0,2870000000.0,130389999.99999999,0.0,0.0,0.0,9469.0,911830.0,888889.0,92233.0,2019-12-31,2019-12-31,2019-12-31
1298,MSV.TO,"04/22/2020, 08:47:34",0.5,60850000.0,30420000.0,-1920000.0,-2130000.0,0.0,0.0,0.0,31493.0,1280.0,0.0,-1144.0,2019-12-31,2019-12-31,2019-12-31
